imagen,num_callos,area_media_mm2,area_std_mm2,area_min_mm2,area_max_mm2,area_total_mm2
p100.png,17,63.91,27.5,8.67,130.25,1086.47
p101.png,18,63.17,12.71,37.1,81.25,1137.07
p102.png,8,61.86,2.51,58.07,65.0,494.91
p103.png,16,46.62,18.35,23.66,74.88,745.92
p110.png,12,34.26,14.8,23.59,64.27,411.09
p111.png,15,78.6,44.58,39.66,223.14,1179.03
p112.png,14,51.06,17.24,19.4,74.74,714.87
p113.png,14,64.14,38.91,16.39,172.8,897.99
p120.png,14,87.64,41.45,41.39,168.42,1226.93
p121.png,18,42.32,20.8,9.6,73.15,761.7
p122.png,18,55.11,11.8,35.09,80.58,991.93
p130.png,16,68.67,31.54,41.02,175.35,1098.73
p131.png,16,67.13,25.94,40.84,143.86,1074.07
p132.png,9,35.52,17.28,1.31,57.24,319.66
p133.png,15,87.59,51.36,18.5,226.55,1313.92
